,id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,pt_condo,pt_apartment,pt_house,pt_rental_unit,pt_hotel,pt_hostel,rt_entire_home/ap,rt_private_room,rt_shared_room,geometry,neighbourhood
0,23163,50.08229,14.41552,4,1.0,1.0,2.0,158.20000000000002,1,365,30,4.9,0,0,0,1,0,0,1,0,0,POINT (14.41552 50.08229),Praha 1
1,23169,50.0883,14.42272,3,1.0,1.0,2.0,118.2,1,365,117,4.73,0,0,0,1,0,0,1,0,0,POINT (14.42272 50.0883),Praha 1
2,26755,50.08729,14.43179,4,1.5,1.0,2.0,128.92000000000002,3,700,358,4.94,0,0,0,1,0,0,1,0,0,POINT (14.43179 50.08729),Praha 1
3,30762,50.08821,14.42623,6,1.0,2.0,3.0,269.64,1,365,16,4.75,0,1,0,0,0,0,1,0,0,POINT (14.42623 50.08821),Praha 1
4,42514,50.08228,14.41345,3,1.0,1.0,2.0,110.52,7,365,333,4.76,0,0,0,1,0,0,1,0,0,POINT (14.41345 50.08228),Praha 1
5,52148,50.06996574291571,14.430666050424191,7,1.0,1.0,4.0,76.76,1,365,227,4.6,0,0,0,1,0,0,1,0,0,POINT (14.430666050424191 50.06996574291571),Praha 2
7,55856,50.07617,14.43308,4,1.0,1.0,2.0,97.36,2,365,360,4.57,0,0,0,1,0,0,1,0,0,POINT (14.43308 50.07617),Praha 2
8,70003,50.08557,14.45098,3,1.0,1.0,2.0,60.84,2,365,241,4.42,0,0,0,1,0,0,1,0,0,POINT (14.45098 50.08557),Praha 3
9,75298,50.092285,14.4329,2,1.0,1.0,1.0,89.24,3,30,35,4.74,0,0,0,1,0,0,1,0,0,POINT (14.4329 50.092285),Praha 1
10,79373,50.08844,14.42424,4,1.0,1.0,2.0,121.68,1,365,52,4.69,0,0,0,1,0,0,1,0,0,POINT (14.42424 50.08844),Praha 1
11,79381,50.08943,14.42373,4,1.5,1.0,1.0,121.68,1,365,17,4.88,0,0,0,1,0,0,1,0,0,POINT (14.42373 50.08943),Praha 1
12,79387,50.08943,14.42373,4,1.0,1.0,2.0,116.84,1,365,27,4.81,0,0,0,1,0,0,1,0,0,POINT (14.42373 50.08943),Praha 1
13,79711,50.08051,14.41487,4,1.0,1.0,2.0,137.68,1,365,20,4.65,0,0,0,1,0,0,1,0,0,POINT (14.41487 50.08051),Praha 1
14,83067,50.08409,14.41352,4,1.0,1.0,4.0,125.04,3,365,220,4.53,0,0,0,1,0,0,1,0,0,POINT (14.41352 50.08409),Praha 1
15,83855,50.08409,14.41352,5,1.0,1.0,3.0,129.36,3,365,246,4.57,0,0,0,1,0,0,1,0,0,POINT (14.41352 50.08409),Praha 1
16,83856,50.08385,14.41463,5,1.0,1.0,3.0,130.8,3,365,398,4.64,0,0,0,1,0,0,1,0,0,POINT (14.41463 50.08385),Praha 1
